12-08-23 01:32[root]INFO | Training on acrobot environment for 1500 episodes
12-08-23 01:32[root]INFO | Agent Type: dtnet
12-08-23 01:32[root]INFO | Log Directory: acrobot_cpu/dtnet/aaai_15n_32x32c_rand/
12-08-23 01:32[root]INFO | Random Weight Initialization: True
12-08-23 01:32[root]INFO | Training Started: 2023-08-12 01:32:54
12-08-23 01:32[root]INFO | Using Acrobot Environment
12-08-23 01:32[root]INFO | Hyperparameters: {"learning_rate": 0.045, "ent_coef": 0.01, "gamma": 0.99, "gae_lambda": 0.8, "clip_range": 0.2, "n_epochs": 16, "batch_size": 64, "n_steps": 1024, "vf_coef": 0.5, "max_grad_norm": 0.52}
12-08-23 01:32[root]INFO | ===================> Training with seed 105 <=================
12-08-23 01:32[root]INFO | Using 32x32 architecture
12-08-23 01:33[root]INFO | Episode: 0, Avg Reward: -500.0, Best Eval: -500.0
12-08-23 01:33[root]INFO | Episode: 50, Avg Reward: -302.03921568627453, Best Eval: -162.8
12-08-23 01:34[root]INFO | Episode: 100, Avg Reward: -249.61, Best Eval: -149.63333333333333
12-08-23 01:34[root]INFO | Episode: 150, Avg Reward: -156.38, Best Eval: -88.53333333333333
12-08-23 01:34[root]INFO | Episode: 200, Avg Reward: -100.92, Best Eval: -81.3
12-08-23 01:34[root]INFO | Episode: 250, Avg Reward: -91.08, Best Eval: -80.03333333333333
12-08-23 01:35[root]INFO | Episode: 300, Avg Reward: -88.95, Best Eval: -80.03333333333333
12-08-23 01:35[root]INFO | Episode: 350, Avg Reward: -87.84, Best Eval: -80.03333333333333
12-08-23 01:35[root]INFO | Episode: 400, Avg Reward: -89.47, Best Eval: -79.16666666666667
12-08-23 01:35[root]INFO | Episode: 450, Avg Reward: -92.05, Best Eval: -79.1
12-08-23 01:36[root]INFO | Episode: 500, Avg Reward: -92.78, Best Eval: -79.1
12-08-23 01:36[root]INFO | Episode: 550, Avg Reward: -86.75, Best Eval: -79.1
12-08-23 01:36[root]INFO | Episode: 600, Avg Reward: -93.22, Best Eval: -79.1
12-08-23 01:36[root]INFO | Episode: 650, Avg Reward: -104.89, Best Eval: -79.1
12-08-23 01:37[root]INFO | Episode: 700, Avg Reward: -98.06, Best Eval: -79.1
12-08-23 01:37[root]INFO | Episode: 750, Avg Reward: -91.76, Best Eval: -79.1
12-08-23 01:37[root]INFO | Episode: 800, Avg Reward: -91.34, Best Eval: -79.1
12-08-23 01:37[root]INFO | Episode: 850, Avg Reward: -90.02, Best Eval: -79.1
12-08-23 01:38[root]INFO | Episode: 900, Avg Reward: -86.92, Best Eval: -79.1
12-08-23 01:38[root]INFO | Episode: 950, Avg Reward: -94.64, Best Eval: -79.1
12-08-23 01:38[root]INFO | Episode: 1000, Avg Reward: -98.66, Best Eval: -79.1
12-08-23 01:38[root]INFO | Episode: 1050, Avg Reward: -88.27, Best Eval: -79.1
12-08-23 01:38[root]INFO | Episode: 1100, Avg Reward: -86.02, Best Eval: -79.1
12-08-23 01:39[root]INFO | Episode: 1150, Avg Reward: -83.65, Best Eval: -79.1
12-08-23 01:39[root]INFO | Episode: 1200, Avg Reward: -79.34, Best Eval: -79.1
12-08-23 01:39[root]INFO | Episode: 1250, Avg Reward: -87.18, Best Eval: -79.1
12-08-23 01:39[root]INFO | Episode: 1300, Avg Reward: -92.59, Best Eval: -79.0
12-08-23 01:40[root]INFO | Episode: 1350, Avg Reward: -85.76, Best Eval: -79.0
12-08-23 01:40[root]INFO | Episode: 1400, Avg Reward: -85.16, Best Eval: -79.0
12-08-23 01:40[root]INFO | Episode: 1450, Avg Reward: -87.61, Best Eval: -77.6
12-08-23 01:40[root]INFO | Using 32x32 architecture
12-08-23 01:40[root]INFO | ==============> Test reward for seeds [500, 600]: -83.37 +/- 43.71261945937351 <==========
12-08-23 01:40[root]INFO | Execution time of seed 105: 0 hours, 7 minutes, 53 seconds
