12-08-23 01:32[root]INFO | Training on acrobot environment for 1500 episodes
12-08-23 01:32[root]INFO | Agent Type: dtnet
12-08-23 01:32[root]INFO | Log Directory: acrobot_cpu/dtnet/aaai_15n_32x32c_rand/
12-08-23 01:32[root]INFO | Random Weight Initialization: True
12-08-23 01:32[root]INFO | Training Started: 2023-08-12 01:32:48
12-08-23 01:32[root]INFO | Using Acrobot Environment
12-08-23 01:32[root]INFO | Hyperparameters: {"learning_rate": 0.045, "ent_coef": 0.01, "gamma": 0.99, "gae_lambda": 0.8, "clip_range": 0.2, "n_epochs": 16, "batch_size": 64, "n_steps": 1024, "vf_coef": 0.5, "max_grad_norm": 0.52}
12-08-23 01:32[root]INFO | ===================> Training with seed 100 <=================
12-08-23 01:32[root]INFO | Using 32x32 architecture
12-08-23 01:32[root]INFO | Episode: 0, Avg Reward: -355.0, Best Eval: -500.0
12-08-23 01:33[root]INFO | Episode: 50, Avg Reward: -312.3921568627451, Best Eval: -108.86666666666666
12-08-23 01:33[root]INFO | Episode: 100, Avg Reward: -227.85, Best Eval: -101.66666666666667
12-08-23 01:34[root]INFO | Episode: 150, Avg Reward: -133.3, Best Eval: -89.43333333333334
12-08-23 01:34[root]INFO | Episode: 200, Avg Reward: -115.13, Best Eval: -86.6
12-08-23 01:34[root]INFO | Episode: 250, Avg Reward: -99.41, Best Eval: -84.9
12-08-23 01:34[root]INFO | Episode: 300, Avg Reward: -89.02, Best Eval: -81.1
12-08-23 01:35[root]INFO | Episode: 350, Avg Reward: -90.45, Best Eval: -81.1
12-08-23 01:35[root]INFO | Episode: 400, Avg Reward: -91.09, Best Eval: -79.7
12-08-23 01:35[root]INFO | Episode: 450, Avg Reward: -87.94, Best Eval: -79.7
12-08-23 01:35[root]INFO | Episode: 500, Avg Reward: -89.55, Best Eval: -79.7
12-08-23 01:35[root]INFO | Episode: 550, Avg Reward: -92.75, Best Eval: -79.7
12-08-23 01:36[root]INFO | Episode: 600, Avg Reward: -93.69, Best Eval: -79.7
12-08-23 01:36[root]INFO | Episode: 650, Avg Reward: -92.22, Best Eval: -79.7
12-08-23 01:36[root]INFO | Episode: 700, Avg Reward: -88.22, Best Eval: -79.7
12-08-23 01:36[root]INFO | Episode: 750, Avg Reward: -85.61, Best Eval: -79.13333333333334
12-08-23 01:36[root]INFO | Episode: 800, Avg Reward: -86.19, Best Eval: -79.13333333333334
12-08-23 01:37[root]INFO | Episode: 850, Avg Reward: -86.83, Best Eval: -79.13333333333334
12-08-23 01:37[root]INFO | Episode: 900, Avg Reward: -86.8, Best Eval: -79.13333333333334
12-08-23 01:37[root]INFO | Episode: 950, Avg Reward: -88.26, Best Eval: -79.13333333333334
12-08-23 01:37[root]INFO | Episode: 1000, Avg Reward: -88.07, Best Eval: -79.13333333333334
12-08-23 01:37[root]INFO | Episode: 1050, Avg Reward: -86.28, Best Eval: -79.13333333333334
12-08-23 01:38[root]INFO | Episode: 1100, Avg Reward: -88.65, Best Eval: -79.13333333333334
12-08-23 01:38[root]INFO | Episode: 1150, Avg Reward: -90.53, Best Eval: -79.13333333333334
12-08-23 01:38[root]INFO | Episode: 1200, Avg Reward: -90.49, Best Eval: -79.13333333333334
12-08-23 01:38[root]INFO | Episode: 1250, Avg Reward: -94.61, Best Eval: -79.13333333333334
12-08-23 01:39[root]INFO | Episode: 1300, Avg Reward: -96.93, Best Eval: -79.13333333333334
12-08-23 01:39[root]INFO | Episode: 1350, Avg Reward: -97.7, Best Eval: -79.13333333333334
12-08-23 01:39[root]INFO | Episode: 1400, Avg Reward: -106.8, Best Eval: -79.13333333333334
12-08-23 01:39[root]INFO | Episode: 1450, Avg Reward: -99.98, Best Eval: -79.13333333333334
12-08-23 01:39[root]INFO | Using 32x32 architecture
12-08-23 01:39[root]INFO | ==============> Test reward for seeds [500, 600]: -84.96 +/- 18.90657028654325 <==========
12-08-23 01:39[root]INFO | Execution time of seed 100: 0 hours, 7 minutes, 9 seconds
