12-08-23 01:32[root]INFO | Training on acrobot environment for 1500 episodes
12-08-23 01:32[root]INFO | Agent Type: dtnet
12-08-23 01:32[root]INFO | Log Directory: acrobot_cpu/dtnet/aaai_15n_32x32c_rand/
12-08-23 01:32[root]INFO | Random Weight Initialization: True
12-08-23 01:32[root]INFO | Training Started: 2023-08-12 01:32:48
12-08-23 01:32[root]INFO | Using Acrobot Environment
12-08-23 01:32[root]INFO | Hyperparameters: {"learning_rate": 0.045, "ent_coef": 0.01, "gamma": 0.99, "gae_lambda": 0.8, "clip_range": 0.2, "n_epochs": 16, "batch_size": 64, "n_steps": 1024, "vf_coef": 0.5, "max_grad_norm": 0.52}
12-08-23 01:32[root]INFO | ===================> Training with seed 110 <=================
12-08-23 01:32[root]INFO | Using 32x32 architecture
12-08-23 01:32[root]INFO | Episode: 0, Avg Reward: -500.0, Best Eval: -252.1
12-08-23 01:33[root]INFO | Episode: 50, Avg Reward: -239.66666666666666, Best Eval: -111.43333333333334
12-08-23 01:33[root]INFO | Episode: 100, Avg Reward: -182.95, Best Eval: -94.5
12-08-23 01:33[root]INFO | Episode: 150, Avg Reward: -116.26, Best Eval: -78.5
12-08-23 01:34[root]INFO | Episode: 200, Avg Reward: -98.42, Best Eval: -78.5
12-08-23 01:34[root]INFO | Episode: 250, Avg Reward: -93.1, Best Eval: -78.5
12-08-23 01:34[root]INFO | Episode: 300, Avg Reward: -87.64, Best Eval: -78.5
12-08-23 01:34[root]INFO | Episode: 350, Avg Reward: -88.91, Best Eval: -78.5
12-08-23 01:35[root]INFO | Episode: 400, Avg Reward: -90.95, Best Eval: -78.5
12-08-23 01:35[root]INFO | Episode: 450, Avg Reward: -86.24, Best Eval: -78.26666666666667
12-08-23 01:35[root]INFO | Episode: 500, Avg Reward: -88.64, Best Eval: -78.26666666666667
12-08-23 01:35[root]INFO | Episode: 550, Avg Reward: -90.62, Best Eval: -78.26666666666667
12-08-23 01:36[root]INFO | Episode: 600, Avg Reward: -90.39, Best Eval: -78.26666666666667
12-08-23 01:36[root]INFO | Episode: 650, Avg Reward: -87.41, Best Eval: -78.26666666666667
12-08-23 01:36[root]INFO | Episode: 700, Avg Reward: -79.21, Best Eval: -78.26666666666667
12-08-23 01:36[root]INFO | Episode: 750, Avg Reward: -80.0, Best Eval: -77.3
12-08-23 01:37[root]INFO | Episode: 800, Avg Reward: -87.99, Best Eval: -77.3
12-08-23 01:37[root]INFO | Episode: 850, Avg Reward: -100.86, Best Eval: -77.3
12-08-23 01:37[root]INFO | Episode: 900, Avg Reward: -99.97, Best Eval: -77.3
12-08-23 01:37[root]INFO | Episode: 950, Avg Reward: -88.33, Best Eval: -77.3
12-08-23 01:38[root]INFO | Episode: 1000, Avg Reward: -86.8, Best Eval: -77.3
12-08-23 01:38[root]INFO | Episode: 1050, Avg Reward: -90.62, Best Eval: -77.3
12-08-23 01:38[root]INFO | Episode: 1100, Avg Reward: -92.09, Best Eval: -77.3
12-08-23 01:38[root]INFO | Episode: 1150, Avg Reward: -89.81, Best Eval: -77.3
12-08-23 01:39[root]INFO | Episode: 1200, Avg Reward: -90.46, Best Eval: -77.3
12-08-23 01:39[root]INFO | Episode: 1250, Avg Reward: -91.01, Best Eval: -75.76666666666667
12-08-23 01:39[root]INFO | Episode: 1300, Avg Reward: -88.98, Best Eval: -75.76666666666667
12-08-23 01:39[root]INFO | Episode: 1350, Avg Reward: -91.0, Best Eval: -75.76666666666667
12-08-23 01:40[root]INFO | Episode: 1400, Avg Reward: -91.68, Best Eval: -75.76666666666667
12-08-23 01:40[root]INFO | Episode: 1450, Avg Reward: -89.45, Best Eval: -75.76666666666667
12-08-23 01:40[root]INFO | Using 32x32 architecture
12-08-23 01:40[root]INFO | ==============> Test reward for seeds [500, 600]: -79.17 +/- 11.315524733745228 <==========
12-08-23 01:40[root]INFO | Execution time of seed 110: 0 hours, 7 minutes, 57 seconds
